"Given Name","Family Name","Department Code","Specific Field","Role","ORCID ID","Organization","Status","Role Title","Start Date","Keywords","ResearcherID","Number of Works"
"ATIEH","MAHROO","","SSD not available","PhD Student","0000-0002-2962-3661","N/A","TO CHECK","N/A","N/A","Nessuna","N/A",14
"FARIHA","MAQBOOL","","SSD not available","PhD Student","0009-0008-2587-9417","University of Milano-Bicocca","APPROVED","PhD student","2023","Nessuna","N/A",3
"MARIO","MARINO","","SSD not available","PhD Student","0000-0002-4686-7297","N/A","TO CHECK","N/A","N/A","Nessuna","N/A",0
"ALBERTO","MINORA","","SSD not available","PhD Student","","","TO CHECK","","","","",""
"FRANCESCO","MORANO","","SSD not available","PhD Student","0009-0008-4593-4778","University of Milano-Bicocca","APPROVED","","N/A","Nessuna","N/A",0
"CHIARA","NATALI","","SSD not available","PhD Student","0000-0002-0293-171X","University of Florence","TO CHECK","Technician","N/A","Nessuna","N/A",2
"MARCO","PIAZZA","","SSD not available","PhD Student","0000-0001-7105-2017","N/A","TO CHECK","N/A","N/A","Nessuna","N/A",0
"FEDERICO","PIROLA","","SSD not available","PhD Student","","","TO CHECK","","","","",""
"RICCARDO","POZZI","","SSD not available","PhD Student","0000-0002-4954-3837","N/A","TO CHECK","N/A","N/A","Nessuna","N/A",3
"BRIAN","RICCARDI","","SSD not available","PhD Student","0000-0002-4925-9529","N/A","TO CHECK","N/A","N/A","Algorithms, Data Structures, Automata, Logic","N/A",6
"GIORGIA","RIGAMONTI","","SSD not available","PhD Student","0009-0006-4253-1020","University of Milano-Bicocca","APPROVED","PhD Student","2023","Nessuna","N/A",0
"NICCOLÒ","ROCCHI","","SSD not available","PhD Student","0009-0000-9764-0036","N/A","TO CHECK","N/A","N/A","Nessuna","N/A",0
"LORENZO","ROVIDA","","SSD not available","PhD Student","0000-0001-5093-7932","N/A","TO CHECK","N/A","N/A","Nessuna","N/A",5
"DANIEL","SCALENA","","SSD not available","PhD Student","0009-0006-0518-6504","University of Groningen","TO CHECK","","N/A","Nessuna","N/A",1
"MATTIA","SGRO","","SSD not available","PhD Student","0009-0003-5838-5329","Università degli Studi di Milano-Bicocca","APPROVED","PhD Student","2023","Nessuna","N/A",1
"SAHAR","SHAH","","SSD not available","PhD Student","0000-0002-9943-935X","N/A","TO CHECK","N/A","N/A","Nessuna","N/A",1
"MOHAMED NASSER HASSAN","SWEILAM","","SSD not available","PhD Student","0009-0004-7796-0613","University of Milano-Bicocca","APPROVED","PhD student","N/A","Nessuna","N/A",0
"JACOPO","TALPINI","","SSD not available","PhD Student","0000-0003-1556-6296","N/A","TO CHECK","N/A","N/A","Nessuna","N/A",0
"GIULIO","VIGANò","","SSD not available","PhD Student","0009-0000-7263-2160","University of Milano-Bicocca","APPROVED","Phd Student","2023","Nessuna","N/A",2
